FECHA_HORA,SECTOR,CAUDAL MEDIO(M3)
01/01/2024 9:00,Bº LOS ÁNGELES,"24,195"
01/01/2024 9:00,CABO HUERTAS - PLAYA,"19,55"
01/01/2024 9:00,Campoamor Alto,"40,65"
01/01/2024 9:00,CENTRO COMERCIAL GRAN VÍA,"13,15"
01/01/2024 9:00,CIUDAD DEPORTIVA DL,"19,75"
01/01/2024 9:00,COLONIA REQUENA,"121,5"
01/01/2024 9:00,COLONIA ROMANA,"24,3"
01/01/2024 9:00,CONDOMINA,"40,7"
01/01/2024 9:00,Depósito Los Ángeles,"14,05"
01/01/2024 9:00,DIPUTACIÓN DL,0
01/01/2024 9:00,GARBINET NORTE 1,"12,05"
01/01/2024 9:00,INFORMACIÓN DL,"22,8"
01/01/2024 9:00,Les Palmeretes,"35,1"
01/01/2024 9:00,LONJA,"2,03"
01/01/2024 9:00,LONJA DL,"2,03"
01/01/2024 9:00,MATADERO,"22,72"
01/01/2024 9:00,MERCADO DL,"36,161"
01/01/2024 9:00,MUCHAVISTA - P.A.U. 5,"37,2"
01/01/2024 9:00,MUELLE GRANELES DL,"4,3"
01/01/2024 9:00,MUELLE LEVANTE DL,"7,099"
01/01/2024 9:00,O.A.M.I 1,"7,25"
01/01/2024 9:00,P.A.U. 1 (norte+sur),"34,15"
01/01/2024 9:00,P.A.U. 2,"17,2"
01/01/2024 9:00,PARQUE LO MORANT,"21,633"
01/01/2024 9:00,PLAYA DE SAN JUAN 1,"50,5"
01/01/2024 9:00,Postiguet,"17,8"
01/01/2024 9:00,PZA. MONTAÑETA,"34,5"
01/01/2024 9:00,RABASA DL,"29,6"
01/01/2024 9:00,SANTO DOMINGO DL,"54,034"
01/01/2024 9:00,SH_Demo,"24,195"
01/01/2024 9:00,TOBO,"27,55"
01/01/2024 9:00,VALLONGA GLOBAL,"7,45"
01/01/2024 9:00,VALLONGA-TOLON DL,"7,45"
01/01/2024 9:00,VILLAFRANQUEZA,"22,623"
01/01/2024 9:00,VIRGEN DEL CARMEN 1000 Viv,"37,561"
01/01/2024 9:00,VIRGEN DEL REMEDIO,"62,85"
01/01/2024 10:00,1 CIUDAD JARDÍN,"17,1"
01/01/2024 10:00,ALIPARK DL,"8,2"
01/01/2024 10:00,ALTOZANO,"46,05"
01/01/2024 10:00,BAHÍA LOS PINOS,"32,1"
01/01/2024 10:00,BENALÚA DL,"46,05"
01/01/2024 10:00,Bº GRANADA 1,"7,75"
01/01/2024 10:00,Bº LOS ÁNGELES,"29,847"
01/01/2024 10:00,CABO HUERTAS - PLAYA,"21,05"
01/01/2024 10:00,Campoamor Alto,"50,15"
01/01/2024 10:00,CENTRO COMERCIAL GRAN VÍA,"16,3"
01/01/2024 10:00,CIUDAD DEPORTIVA DL,"22,55"
01/01/2024 10:00,COLONIA REQUENA,134
01/01/2024 10:00,COLONIA ROMANA,"31,15"
01/01/2024 10:00,CONDOMINA,"48,25"
01/01/2024 10:00,Depósito Los Ángeles,"17,8"
01/01/2024 10:00,DIPUTACIÓN DL,0
01/01/2024 10:00,GARBINET NORTE 1,"14,45"
01/01/2024 10:00,INFORMACIÓN DL,"25,9"
01/01/2024 10:00,Les Palmeretes,"41,35"
01/01/2024 10:00,LONJA,"2,13"
01/01/2024 10:00,LONJA DL,"2,13"
01/01/2024 10:00,MATADERO,"20,292"
01/01/2024 10:00,MERCADO DL,"43,857"
01/01/2024 10:00,MUCHAVISTA - P.A.U. 5,"44,8"
01/01/2024 10:00,MUELLE GRANELES DL,"4,4"
01/01/2024 10:00,MUELLE LEVANTE DL,"8,129"
01/01/2024 10:00,O.A.M.I 1,8
01/01/2024 10:00,P.A.U. 1 (norte+sur),"37,9"
01/01/2024 10:00,P.A.U. 2,18
01/01/2024 10:00,PARQUE LO MORANT,"24,339"
01/01/2024 10:00,Pla-Hospital,"44,684"
01/01/2024 10:00,PLAYA DE SAN JUAN 1,"56,3"
01/01/2024 10:00,Postiguet,"17,35"
01/01/2024 10:00,PZA. MONTAÑETA,40
01/01/2024 10:00,RABASA DL,"29,1"
01/01/2024 10:00,SANTO DOMINGO DL,"67,083"
01/01/2024 10:00,SH_Demo,"29,847"
01/01/2024 10:00,TOBO,"33,45"
01/01/2024 10:00,VALLONGA GLOBAL,"7,35"
01/01/2024 10:00,VALLONGA-TOLON DL,"7,35"
01/01/2024 10:00,VILLAFRANQUEZA,"25,836"
01/01/2024 10:00,VIRGEN DEL CARMEN 1000 Viv,"42,695"
01/01/2024 10:00,VIRGEN DEL REMEDIO,"67,95"
01/01/2024 11:00,1 CIUDAD JARDÍN,"29,95"
01/01/2024 11:00,ALIPARK DL,"8,9"
01/01/2024 11:00,ALTOZANO,"52,25"
01/01/2024 11:00,BAHÍA LOS PINOS,"36,95"
01/01/2024 11:00,BENALÚA DL,"52,25"
01/01/2024 11:00,Bº GRANADA 1,"7,25"
01/01/2024 11:00,Bº LOS ÁNGELES,"32,991"
01/01/2024 11:00,CABO HUERTAS - PLAYA,"24,65"
01/01/2024 11:00,Campoamor Alto,"53,05"
01/01/2024 11:00,CENTRO COMERCIAL GRAN VÍA,"18,9"
01/01/2024 11:00,CIUDAD DEPORTIVA DL,"23,85"
01/01/2024 11:00,COLONIA REQUENA,146
01/01/2024 11:00,COLONIA ROMANA,"33,05"
01/01/2024 11:00,CONDOMINA,"50,6"
01/01/2024 11:00,Depósito Los Ángeles,"18,5"
01/01/2024 11:00,DIPUTACIÓN DL,0
01/01/2024 11:00,GARBINET NORTE 1,"15,9"
01/01/2024 11:00,INFORMACIÓN DL,"24,8"
01/01/2024 11:00,Les Palmeretes,"43,45"
01/01/2024 11:00,LONJA,"2,44"
01/01/2024 11:00,LONJA DL,"2,44"
01/01/2024 11:00,MATADERO,"21,488"
01/01/2024 11:00,MERCADO DL,"50,625"
01/01/2024 11:00,MUCHAVISTA - P.A.U. 5,"51,7"
01/01/2024 11:00,MUELLE GRANELES DL,"10,8"
01/01/2024 11:00,MUELLE LEVANTE DL,"7,453"
01/01/2024 11:00,O.A.M.I 1,"9,2"
01/01/2024 11:00,P.A.U. 1 (norte+sur),"41,25"
01/01/2024 11:00,P.A.U. 2,"20,3"
01/01/2024 11:00,PARQUE LO MORANT,"26,487"
01/01/2024 11:00,PLAYA DE SAN JUAN 1,"62,75"
01/01/2024 11:00,Postiguet,"19,55"
01/01/2024 11:00,PZA. MONTAÑETA,"43,8"
01/01/2024 11:00,RABASA DL,"31,3"
01/01/2024 11:00,SANTO DOMINGO DL,"75,156"
01/01/2024 11:00,SH_Demo,"32,991"
01/01/2024 11:00,TOBO,"36,5"
01/01/2024 11:00,VALLONGA GLOBAL,"8,75"
01/01/2024 11:00,VALLONGA-TOLON DL,"8,75"
01/01/2024 11:00,VILLAFRANQUEZA,"26,321"
01/01/2024 11:00,VIRGEN DEL CARMEN 1000 Viv,"44,662"
01/01/2024 11:00,VIRGEN DEL REMEDIO,"73,75"
01/01/2024 12:00,1 CIUDAD JARDÍN,"30,15"
01/01/2024 12:00,ALIPARK DL,"9,75"
01/01/2024 12:00,ALTOZANO,"56,45"
01/01/2024 12:00,BAHÍA LOS PINOS,"38,45"
01/01/2024 12:00,BENALÚA DL,"56,45"
01/01/2024 12:00,Bº GRANADA 1,"6,3"
01/01/2024 12:00,Bº LOS ÁNGELES,"36,697"
01/01/2024 12:00,CABO HUERTAS - PLAYA,"28,95"
01/01/2024 12:00,Campoamor Alto,"52,9"
01/01/2024 12:00,CENTRO COMERCIAL GRAN VÍA,"22,65"
01/01/2024 12:00,CIUDAD DEPORTIVA DL,"26,7"
01/01/2024 12:00,COLONIA REQUENA,"150,2"
01/01/2024 12:00,COLONIA ROMANA,32
01/01/2024 12:00,CONDOMINA,"55,1"
01/01/2024 12:00,Depósito Los Ángeles,"21,2"
01/01/2024 12:00,DIPUTACIÓN DL,0
01/01/2024 12:00,GARBINET NORTE 1,"19,05"
01/01/2024 12:00,INFORMACIÓN DL,"26,5"
